Ngày,Giờ,Mưa,Nhiệt độ,Độ ẩm,Bức xạ,Khí áp,T.độ gió,H. gió
01/01/2014,10:10,0,-,-,-,-,-,-
01/01/2014,10:20,0,-,-,-,-,-,-
01/01/2014,10:30,0,-,-,-,-,-,-
01/01/2014,10:40,0,-,-,-,-,-,-
01/01/2014,10:50,0,-,-,-,-,-,-
01/01/2014,11:00,0,25.8,73,770,1014.5,2.3,322
01/01/2014,11:10,0,-,-,-,-,-,-
01/01/2014,11:20,0,-,-,-,-,-,-
01/01/2014,11:30,0,-,-,-,-,-,-
01/01/2014,11:40,0,-,-,-,-,-,-
01/01/2014,11:50,0,-,-,-,-,-,-
01/01/2014,12:00,0,26.7,70,767,1013.4,1.5,11
01/01/2014,12:10,0,-,-,-,-,-,-
01/01/2014,12:20,0,-,-,-,-,-,-
01/01/2014,12:30,0,-,-,-,-,-,-
01/01/2014,12:40,0,-,-,-,-,-,-
01/01/2014,12:50,0,-,-,-,-,-,-
01/01/2014,13:00,0,27.4,70,703,1012.2,2.4,294
01/01/2014,13:10,0,-,-,-,-,-,-
01/01/2014,13:20,0,-,-,-,-,-,-
01/01/2014,13:30,0,-,-,-,-,-,-
01/01/2014,13:40,0,-,-,-,-,-,-
01/01/2014,13:50,0,-,-,-,-,-,-
01/01/2014,14:00,0,28.6,64,642,1011.2,2.2,302
01/01/2014,14:10,0,-,-,-,-,-,-
01/01/2014,14:20,0,-,-,-,-,-,-
01/01/2014,14:30,0,-,-,-,-,-,-
01/01/2014,14:40,0,-,-,-,-,-,-
01/01/2014,14:50,0,-,-,-,-,-,-
01/01/2014,15:00,0,29.3,62,407,1010.7,2.2,292
01/01/2014,15:10,0,-,-,-,-,-,-
01/01/2014,15:20,0,-,-,-,-,-,-
01/01/2014,15:30,0,-,-,-,-,-,-
01/01/2014,15:40,0,-,-,-,-,-,-
01/01/2014,15:50,0,-,-,-,-,-,-
01/01/2014,16:00,0,28.9,67,218,1011,1.7,324
01/01/2014,16:10,0,-,-,-,-,-,-
01/01/2014,16:20,0,-,-,-,-,-,-
01/01/2014,16:30,0,-,-,-,-,-,-
01/01/2014,16:40,0,-,-,-,-,-,-
01/01/2014,16:50,0,-,-,-,-,-,-
01/01/2014,17:00,0,27.9,73,29,1011.5,3,326
01/01/2014,17:10,0,-,-,-,-,-,-
01/01/2014,17:20,0,-,-,-,-,-,-
01/01/2014,17:30,0,-,-,-,-,-,-
01/01/2014,17:40,0,-,-,-,-,-,-
01/01/2014,17:50,0,-,-,-,-,-,-
01/01/2014,18:00,0,26.6,79,0,1012.1,1.8,308
01/01/2014,18:10,0,-,-,-,-,-,-
01/01/2014,18:20,0,-,-,-,-,-,-
01/01/2014,18:30,0,-,-,-,-,-,-
01/01/2014,18:40,0,-,-,-,-,-,-
01/01/2014,18:50,0,-,-,-,-,-,-
01/01/2014,19:00,0,26,82,0,1012.7,1.7,315
01/01/2014,19:10,0,-,-,-,-,-,-
01/01/2014,19:20,0,-,-,-,-,-,-
01/01/2014,19:30,0,-,-,-,-,-,-
01/01/2014,19:40,0,-,-,-,-,-,-
01/01/2014,19:50,0,-,-,-,-,-,-
01/01/2014,20:00,0,25.8,83,0,1013.3,1.2,145
01/01/2014,20:10,0,-,-,-,-,-,-
01/01/2014,20:20,0,-,-,-,-,-,-
01/01/2014,20:30,0,-,-,-,-,-,-
01/01/2014,20:40,0,-,-,-,-,-,-
01/01/2014,20:50,0,-,-,-,-,-,-
01/01/2014,21:00,0,25.6,83,0,1013.6,1.9,159
01/01/2014,21:10,0,-,-,-,-,-,-
01/01/2014,21:20,0,-,-,-,-,-,-
01/01/2014,21:30,0,-,-,-,-,-,-
01/01/2014,21:40,0,-,-,-,-,-,-
01/01/2014,21:50,0,-,-,-,-,-,-
01/01/2014,22:00,0,25.1,85,0,1013.3,0.8,135
01/01/2014,22:10,0,-,-,-,-,-,-
01/01/2014,22:20,0,-,-,-,-,-,-
01/01/2014,22:30,0,-,-,-,-,-,-
01/01/2014,22:40,0,-,-,-,-,-,-
01/01/2014,22:50,0,-,-,-,-,-,-
01/01/2014,23:00,0,24.8,91,0,1013.3,1.5,312
01/01/2014,23:10,0,-,-,-,-,-,-
01/01/2014,23:20,0,-,-,-,-,-,-
01/01/2014,23:30,0,-,-,-,-,-,-
01/01/2014,23:40,0,-,-,-,-,-,-
01/01/2014,23:50,0,-,-,-,-,-,-
02/01/2014,00:00,0,24.6,91,0,1013.1,0.5,0
02/01/2014,00:10,0,-,-,-,-,-,-
02/01/2014,00:20,0,-,-,-,-,-,-
02/01/2014,00:30,0,-,-,-,-,-,-
02/01/2014,00:40,0,-,-,-,-,-,-
02/01/2014,00:50,0,-,-,-,-,-,-
02/01/2014,01:00,0,24.2,91,0,1012.5,0,-
02/01/2014,01:10,0,-,-,-,-,-,-
02/01/2014,01:20,0,-,-,-,-,-,-
02/01/2014,01:30,0,-,-,-,-,-,-
02/01/2014,01:40,0,-,-,-,-,-,-
02/01/2014,01:50,0,-,-,-,-,-,-
02/01/2014,02:00,0,23.5,95,0,1011.6,0.9,162
02/01/2014,02:10,0,-,-,-,-,-,-
02/01/2014,02:20,0,-,-,-,-,-,-
02/01/2014,02:30,0,-,-,-,-,-,-
02/01/2014,02:40,0,-,-,-,-,-,-
02/01/2014,02:50,0,-,-,-,-,-,-
02/01/2014,03:00,0,23.1,96,0,1011.4,1.6,173
02/01/2014,03:10,0,-,-,-,-,-,-
02/01/2014,03:20,0,-,-,-,-,-,-
02/01/2014,03:30,0,-,-,-,-,-,-
02/01/2014,03:40,0,-,-,-,-,-,-
02/01/2014,03:50,0,-,-,-,-,-,-
02/01/2014,04:00,0,23,97,0,1011.6,0.9,243
02/01/2014,04:10,0,-,-,-,-,-,-
02/01/2014,04:20,0,-,-,-,-,-,-
02/01/2014,04:30,0,-,-,-,-,-,-
02/01/2014,04:40,0,-,-,-,-,-,-
02/01/2014,04:50,0,-,-,-,-,-,-
02/01/2014,05:00,0,22.7,97,0,1011.7,1.3,243
02/01/2014,05:10,0,-,-,-,-,-,-
02/01/2014,05:20,0,-,-,-,-,-,-
02/01/2014,05:30,0,-,-,-,-,-,-
02/01/2014,05:40,0,-,-,-,-,-,-
02/01/2014,05:50,0,-,-,-,-,-,-
02/01/2014,06:00,0,22.7,98,0,1012,1.5,286
02/01/2014,06:10,0,-,-,-,-,-,-
02/01/2014,06:20,0,-,-,-,-,-,-
02/01/2014,06:30,0,-,-,-,-,-,-
02/01/2014,06:40,0,-,-,-,-,-,-
02/01/2014,06:50,0,-,-,-,-,-,-
02/01/2014,07:00,0,22.4,93,30,1013.2,1.3,241
02/01/2014,07:10,0,-,-,-,-,-,-
02/01/2014,07:20,0,-,-,-,-,-,-
02/01/2014,07:30,0,-,-,-,-,-,-
02/01/2014,07:40,0,-,-,-,-,-,-
02/01/2014,07:50,0,-,-,-,-,-,-
02/01/2014,08:00,0,23.3,86,260,1014.2,1.8,311
02/01/2014,08:10,0,-,-,-,-,-,-
02/01/2014,08:20,0,-,-,-,-,-,-
02/01/2014,08:30,0,-,-,-,-,-,-
02/01/2014,08:40,0,-,-,-,-,-,-
02/01/2014,08:50,0,-,-,-,-,-,-
02/01/2014,09:00,0,24.6,80,427,1014.5,1.2,346
02/01/2014,09:10,0,-,-,-,-,-,-
02/01/2014,09:20,0,-,-,-,-,-,-
02/01/2014,09:30,0,-,-,-,-,-,-
02/01/2014,09:40,0,-,-,-,-,-,-
02/01/2014,09:50,0,-,-,-,-,-,-
02/01/2014,10:00,0,25.6,78,519,1014.3,1.8,315
02/01/2014,10:10,0,-,-,-,-,-,-
02/01/2014,10:20,0,-,-,-,-,-,-
02/01/2014,10:30,0,-,-,-,-,-,-
02/01/2014,10:40,0,-,-,-,-,-,-
02/01/2014,10:50,0,-,-,-,-,-,-
02/01/2014,11:00,0,26.6,76,553,1013.8,1.3,13
02/01/2014,11:10,0,-,-,-,-,-,-
02/01/2014,11:20,0,-,-,-,-,-,-
02/01/2014,11:30,0,-,-,-,-,-,-
02/01/2014,11:40,0,-,-,-,-,-,-
02/01/2014,11:50,0,-,-,-,-,-,-
02/01/2014,12:00,0,27.2,76,713,1012.7,1.5,0
02/01/2014,12:10,0,-,-,-,-,-,-
02/01/2014,12:20,0,-,-,-,-,-,-
02/01/2014,12:30,0,-,-,-,-,-,-
02/01/2014,12:40,0,-,-,-,-,-,-
02/01/2014,12:50,0,-,-,-,-,-,-
02/01/2014,13:00,0,28,73,222,1011.8,1.1,34
02/01/2014,13:10,0,-,-,-,-,-,-
02/01/2014,13:20,0,-,-,-,-,-,-
02/01/2014,13:30,0,-,-,-,-,-,-
02/01/2014,13:40,0,-,-,-,-,-,-
02/01/2014,13:50,0,-,-,-,-,-,-
02/01/2014,14:00,0,28,73,104,1010.9,2,240
02/01/2014,14:10,0,-,-,-,-,-,-
02/01/2014,14:20,0,-,-,-,-,-,-
02/01/2014,14:30,0,-,-,-,-,-,-
02/01/2014,14:40,0,-,-,-,-,-,-
02/01/2014,14:50,0,-,-,-,-,-,-
02/01/2014,15:00,0,27.9,75,214,1010.4,1.7,62
02/01/2014,15:10,0,-,-,-,-,-,-
02/01/2014,15:20,0,-,-,-,-,-,-
02/01/2014,15:30,0,-,-,-,-,-,-
02/01/2014,15:40,0,-,-,-,-,-,-
02/01/2014,15:50,0,-,-,-,-,-,-
02/01/2014,16:00,0,28.4,74,275,1010.5,2.8,174
02/01/2014,16:10,0,-,-,-,-,-,-
02/01/2014,16:20,0,-,-,-,-,-,-
02/01/2014,16:30,0,-,-,-,-,-,-
02/01/2014,16:40,0,-,-,-,-,-,-
02/01/2014,16:50,0,-,-,-,-,-,-
02/01/2014,17:00,0,27.6,78,70,1011.1,2.4,152
02/01/2014,17:10,0,-,-,-,-,-,-
02/01/2014,17:20,0,-,-,-,-,-,-
02/01/2014,17:30,0,-,-,-,-,-,-
02/01/2014,17:40,0,-,-,-,-,-,-
02/01/2014,17:50,0,-,-,-,-,-,-
02/01/2014,18:00,0,26.7,80,0,1011.7,1.7,159
02/01/2014,18:10,0,-,-,-,-,-,-
02/01/2014,18:20,0,-,-,-,-,-,-
02/01/2014,18:30,0,-,-,-,-,-,-
02/01/2014,18:40,0,-,-,-,-,-,-
02/01/2014,18:50,0,-,-,-,-,-,-
02/01/2014,19:00,0,25.7,83,0,1012.3,1.5,138
02/01/2014,19:10,0,-,-,-,-,-,-
02/01/2014,19:20,0,-,-,-,-,-,-
02/01/2014,19:30,0,-,-,-,-,-,-
02/01/2014,19:40,0,-,-,-,-,-,-
02/01/2014,19:50,0,-,-,-,-,-,-
02/01/2014,20:00,0,24.9,82,0,1012.7,1.3,138
02/01/2014,20:10,0,-,-,-,-,-,-
02/01/2014,20:20,0,-,-,-,-,-,-
02/01/2014,20:30,0,-,-,-,-,-,-
02/01/2014,20:40,0,-,-,-,-,-,-
02/01/2014,20:50,0,-,-,-,-,-,-
02/01/2014,21:00,0,24.3,84,0,1012.8,1.1,112
02/01/2014,21:10,0,-,-,-,-,-,-
02/01/2014,21:20,0,-,-,-,-,-,-
02/01/2014,21:30,0,-,-,-,-,-,-
02/01/2014,21:40,0,-,-,-,-,-,-
02/01/2014,21:50,0,-,-,-,-,-,-
02/01/2014,22:00,0,23.9,86,0,1012.7,1.3,132
02/01/2014,22:10,0,-,-,-,-,-,-
02/01/2014,22:20,0,-,-,-,-,-,-
02/01/2014,22:30,0,-,-,-,-,-,-
02/01/2014,22:40,0,-,-,-,-,-,-
02/01/2014,22:50,0,-,-,-,-,-,-
02/01/2014,23:00,0,23.6,89,0,1012.5,1.3,129
02/01/2014,23:10,0,-,-,-,-,-,-
02/01/2014,23:20,0,-,-,-,-,-,-
02/01/2014,23:30,0,-,-,-,-,-,-
02/01/2014,23:40,0,-,-,-,-,-,-
02/01/2014,23:50,0,-,-,-,-,-,-
03/01/2014,00:00,0,23.3,91,0,1012.2,0,-
03/01/2014,00:10,0,-,-,-,-,-,-
03/01/2014,00:20,0,-,-,-,-,-,-
03/01/2014,00:30,0,-,-,-,-,-,-
03/01/2014,00:40,0,-,-,-,-,-,-
03/01/2014,00:50,0,-,-,-,-,-,-
03/01/2014,01:00,0,23.1,94,0,1011.8,1.5,101
03/01/2014,01:10,0,-,-,-,-,-,-
03/01/2014,01:20,0,-,-,-,-,-,-
03/01/2014,01:30,0,-,-,-,-,-,-
03/01/2014,01:40,0,-,-,-,-,-,-
03/01/2014,01:50,0,-,-,-,-,-,-
03/01/2014,02:00,0,22.8,94,0,1011.6,0.8,187
03/01/2014,02:10,0,-,-,-,-,-,-
03/01/2014,02:20,0,-,-,-,-,-,-
03/01/2014,02:30,0,-,-,-,-,-,-
03/01/2014,02:40,0,-,-,-,-,-,-
03/01/2014,02:50,0,-,-,-,-,-,-
03/01/2014,03:00,0,22.3,97,0,1011.8,1.1,165
03/01/2014,03:10,0,-,-,-,-,-,-
03/01/2014,03:20,0,-,-,-,-,-,-
03/01/2014,03:30,0,-,-,-,-,-,-
03/01/2014,03:40,0,-,-,-,-,-,-
03/01/2014,03:50,0,-,-,-,-,-,-
03/01/2014,04:00,0,22.2,97,0,1012.2,0.4,225
03/01/2014,04:10,0,-,-,-,-,-,-
03/01/2014,04:20,0,-,-,-,-,-,-
03/01/2014,04:30,0,-,-,-,-,-,-
03/01/2014,04:40,0,-,-,-,-,-,-
03/01/2014,04:50,0,-,-,-,-,-,-
03/01/2014,05:00,0,22,99,0,1012.6,1.1,221
03/01/2014,05:10,0,-,-,-,-,-,-
03/01/2014,05:20,0,-,-,-,-,-,-
03/01/2014,05:30,0,-,-,-,-,-,-
03/01/2014,05:40,0,-,-,-,-,-,-
03/01/2014,05:50,0,-,-,-,-,-,-
03/01/2014,06:00,0,22,99,0,1013.1,0.7,262
03/01/2014,06:10,0,-,-,-,-,-,-
03/01/2014,06:20,0,-,-,-,-,-,-
03/01/2014,06:30,0,-,-,-,-,-,-
03/01/2014,06:40,0,-,-,-,-,-,-
03/01/2014,06:50,0,-,-,-,-,-,-
03/01/2014,07:00,0,22.4,100,99,1013.7,1.2,290
03/01/2014,07:10,0,-,-,-,-,-,-
03/01/2014,07:20,0,-,-,-,-,-,-
03/01/2014,07:30,0,-,-,-,-,-,-
03/01/2014,07:40,0,-,-,-,-,-,-
03/01/2014,07:50,0,-,-,-,-,-,-
03/01/2014,08:00,0,23.6,97,183,1014.3,1.3,293
03/01/2014,08:10,0,-,-,-,-,-,-
03/01/2014,08:20,0,-,-,-,-,-,-
03/01/2014,08:30,0,-,-,-,-,-,-
03/01/2014,08:40,0,-,-,-,-,-,-
03/01/2014,08:50,0,-,-,-,-,-,-
03/01/2014,09:00,0,24.6,92,448,1014.7,1.3,45
03/01/2014,09:10,0,-,-,-,-,-,-
03/01/2014,09:20,0,-,-,-,-,-,-
03/01/2014,09:30,0,-,-,-,-,-,-
03/01/2014,09:40,0,-,-,-,-,-,-
03/01/2014,09:50,0,-,-,-,-,-,-
03/01/2014,10:00,0,26.3,82,315,1014.5,1.4,69
03/01/2014,10:10,0,-,-,-,-,-,-
03/01/2014,10:20,0,-,-,-,-,-,-
03/01/2014,10:30,0,-,-,-,-,-,-
03/01/2014,10:40,0,-,-,-,-,-,-
03/01/2014,10:50,0,-,-,-,-,-,-
03/01/2014,11:00,0,27.7,72,680,1013.8,1.3,321
03/01/2014,11:10,0,-,-,-,-,-,-
03/01/2014,11:20,0,-,-,-,-,-,-
03/01/2014,11:30,0,-,-,-,-,-,-
03/01/2014,11:40,0,-,-,-,-,-,-
03/01/2014,11:50,0,-,-,-,-,-,-
03/01/2014,12:00,0,28.7,68,791,1012.5,0.9,347
03/01/2014,12:10,0,-,-,-,-,-,-
03/01/2014,12:20,0,-,-,-,-,-,-
03/01/2014,12:30,0,-,-,-,-,-,-
03/01/2014,12:40,0,-,-,-,-,-,-
03/01/2014,12:50,0,-,-,-,-,-,-
03/01/2014,13:00,0,29.7,65,762,1011.4,1.1,49
03/01/2014,13:10,0,-,-,-,-,-,-
03/01/2014,13:20,0,-,-,-,-,-,-
03/01/2014,13:30,0,-,-,-,-,-,-
03/01/2014,13:40,0,-,-,-,-,-,-
03/01/2014,13:50,0,-,-,-,-,-,-
03/01/2014,14:00,0,30.3,62,611,1010.5,0.8,30
03/01/2014,14:10,0,-,-,-,-,-,-
03/01/2014,14:20,0,-,-,-,-,-,-
03/01/2014,14:30,0,-,-,-,-,-,-
03/01/2014,14:40,0,-,-,-,-,-,-
03/01/2014,14:50,0,-,-,-,-,-,-
03/01/2014,15:00,0,30,63,465,1010,1.8,43
03/01/2014,15:10,0,-,-,-,-,-,-
03/01/2014,15:20,0,-,-,-,-,-,-
03/01/2014,15:30,0,-,-,-,-,-,-
03/01/2014,15:40,0,-,-,-,-,-,-
03/01/2014,15:50,0,-,-,-,-,-,-
03/01/2014,16:00,0,29.5,68,160,1010,1.3,39
03/01/2014,16:10,0,-,-,-,-,-,-
03/01/2014,16:20,0,-,-,-,-,-,-
03/01/2014,16:30,0,-,-,-,-,-,-
03/01/2014,16:40,0,-,-,-,-,-,-
03/01/2014,16:50,0,-,-,-,-,-,-
03/01/2014,17:00,0,28.6,76,29,1010.4,1.9,16
03/01/2014,17:10,0,-,-,-,-,-,-
03/01/2014,17:20,0,-,-,-,-,-,-
03/01/2014,17:30,0,-,-,-,-,-,-
03/01/2014,17:40,0,-,-,-,-,-,-
03/01/2014,17:50,0,-,-,-,-,-,-
03/01/2014,18:00,0,27.5,84,0,1010.6,1.8,308
03/01/2014,18:10,0,-,-,-,-,-,-
03/01/2014,18:20,0,-,-,-,-,-,-
03/01/2014,18:30,0,-,-,-,-,-,-
03/01/2014,18:40,0,-,-,-,-,-,-
03/01/2014,18:50,0,-,-,-,-,-,-
03/01/2014,19:00,0,26.8,83,0,1011,1.3,283
03/01/2014,19:10,0,-,-,-,-,-,-
03/01/2014,19:20,0,-,-,-,-,-,-
03/01/2014,19:30,0,-,-,-,-,-,-
03/01/2014,19:40,0,-,-,-,-,-,-
03/01/2014,19:50,0,-,-,-,-,-,-
03/01/2014,20:00,0,26,87,0,1011.6,0.9,216
03/01/2014,20:10,0,-,-,-,-,-,-
03/01/2014,20:20,0,-,-,-,-,-,-
03/01/2014,20:30,0,-,-,-,-,-,-
03/01/2014,20:40,0,-,-,-,-,-,-
03/01/2014,20:50,0,-,-,-,-,-,-
03/01/2014,21:00,0,25.5,88,0,1011.7,1,259
03/01/2014,21:10,0,-,-,-,-,-,-
03/01/2014,21:20,0,-,-,-,-,-,-
03/01/2014,21:30,0,-,-,-,-,-,-
03/01/2014,21:40,0,-,-,-,-,-,-
03/01/2014,21:50,0,-,-,-,-,-,-
03/01/2014,22:00,0,25,91,0,1012,1.5,132
03/01/2014,22:10,0,-,-,-,-,-,-
03/01/2014,22:20,0,-,-,-,-,-,-
03/01/2014,22:30,0,-,-,-,-,-,-
03/01/2014,22:40,0,-,-,-,-,-,-
03/01/2014,22:50,0,-,-,-,-,-,-
03/01/2014,23:00,0,24.8,94,0,1012.2,1.2,114
03/01/2014,23:10,0,-,-,-,-,-,-
03/01/2014,23:20,0,-,-,-,-,-,-
03/01/2014,23:30,0,-,-,-,-,-,-
03/01/2014,23:40,0,-,-,-,-,-,-
03/01/2014,23:50,0,-,-,-,-,-,-
04/01/2014,00:00,0,24.4,94,0,1012.3,1.2,138
04/01/2014,00:10,0,-,-,-,-,-,-
04/01/2014,00:20,0,-,-,-,-,-,-
04/01/2014,00:30,0,-,-,-,-,-,-
04/01/2014,00:40,0,-,-,-,-,-,-
04/01/2014,00:50,0,-,-,-,-,-,-
04/01/2014,01:00,0,24,96,0,1012,1.7,155
04/01/2014,01:10,0,-,-,-,-,-,-
04/01/2014,01:20,0,-,-,-,-,-,-
04/01/2014,01:30,0,-,-,-,-,-,-
04/01/2014,01:40,0,-,-,-,-,-,-
04/01/2014,01:50,0,-,-,-,-,-,-
04/01/2014,02:00,0,23.8,97,0,1011.2,2,165
04/01/2014,02:10,0,-,-,-,-,-,-
04/01/2014,02:20,0,-,-,-,-,-,-
04/01/2014,02:30,0,-,-,-,-,-,-
04/01/2014,02:40,0,-,-,-,-,-,-
04/01/2014,02:50,0,-,-,-,-,-,-
04/01/2014,03:00,0,24,98,0,1011,0.9,167
04/01/2014,03:10,0,-,-,-,-,-,-
04/01/2014,03:20,0,-,-,-,-,-,-
04/01/2014,03:30,0,-,-,-,-,-,-
04/01/2014,03:40,0,-,-,-,-,-,-
04/01/2014,03:50,0,-,-,-,-,-,-
04/01/2014,04:00,0,24.1,98,0,1011,1.5,160
04/01/2014,04:10,0,-,-,-,-,-,-
04/01/2014,04:20,0,-,-,-,-,-,-
04/01/2014,04:30,0,-,-,-,-,-,-
04/01/2014,04:40,0,-,-,-,-,-,-
04/01/2014,04:50,0,-,-,-,-,-,-
04/01/2014,05:00,0,24.2,97,0,1011.4,0,-
04/01/2014,05:10,0,-,-,-,-,-,-
04/01/2014,05:20,0,-,-,-,-,-,-
04/01/2014,05:30,0,-,-,-,-,-,-
04/01/2014,05:40,0,-,-,-,-,-,-
04/01/2014,05:50,0,-,-,-,-,-,-
04/01/2014,06:00,0,24.2,97,0,1012,0.3,180
04/01/2014,06:10,0,-,-,-,-,-,-
04/01/2014,06:20,0,-,-,-,-,-,-
04/01/2014,06:30,0,-,-,-,-,-,-
04/01/2014,06:40,0,-,-,-,-,-,-
04/01/2014,06:50,0,-,-,-,-,-,-
04/01/2014,07:00,0,24.4,96,55,1012.7,0.4,90
04/01/2014,07:10,0,-,-,-,-,-,-
04/01/2014,07:20,0,-,-,-,-,-,-
04/01/2014,07:30,0,-,-,-,-,-,-
04/01/2014,07:40,0,-,-,-,-,-,-
04/01/2014,07:50,0,-,-,-,-,-,-
04/01/2014,08:00,0,25.3,93,264,1013.1,1.6,108
04/01/2014,08:10,0,-,-,-,-,-,-
04/01/2014,08:20,0,-,-,-,-,-,-
04/01/2014,08:30,0,-,-,-,-,-,-
04/01/2014,08:40,0,-,-,-,-,-,-
04/01/2014,08:50,0,-,-,-,-,-,-
04/01/2014,09:00,0,26.7,83,480,1013.2,2.2,82
04/01/2014,09:10,0,-,-,-,-,-,-
04/01/2014,09:20,0,-,-,-,-,-,-
04/01/2014,09:30,0,-,-,-,-,-,-
04/01/2014,09:40,0,-,-,-,-,-,-
04/01/2014,09:50,0,-,-,-,-,-,-
04/01/2014,10:00,0,27.6,78,562,1013.1,2.7,86
04/01/2014,10:10,0,-,-,-,-,-,-
04/01/2014,10:20,0,-,-,-,-,-,-
04/01/2014,10:30,0,-,-,-,-,-,-
04/01/2014,10:40,0,-,-,-,-,-,-
04/01/2014,10:50,0,-,-,-,-,-,-
04/01/2014,11:00,0,28.2,75,674,1012.6,2.2,85
04/01/2014,11:10,0,-,-,-,-,-,-
04/01/2014,11:20,0,-,-,-,-,-,-
04/01/2014,11:30,0,-,-,-,-,-,-
04/01/2014,11:40,0,-,-,-,-,-,-
04/01/2014,11:50,0,-,-,-,-,-,-
04/01/2014,12:00,0,28.8,71,101,1012,0.6,129
04/01/2014,12:10,0,-,-,-,-,-,-
04/01/2014,12:20,0,-,-,-,-,-,-
04/01/2014,12:30,0,-,-,-,-,-,-
04/01/2014,12:40,0,-,-,-,-,-,-
04/01/2014,12:50,0,-,-,-,-,-,-
04/01/2014,13:00,0,29.1,70,720,1010.9,0.6,0
04/01/2014,13:10,0,-,-,-,-,-,-
04/01/2014,13:20,0,-,-,-,-,-,-
04/01/2014,13:30,0,-,-,-,-,-,-
04/01/2014,13:40,0,-,-,-,-,-,-
04/01/2014,13:50,0,-,-,-,-,-,-
04/01/2014,14:00,0,30.1,66,696,1010.1,1.5,302
04/01/2014,14:10,0,-,-,-,-,-,-
04/01/2014,14:20,0,-,-,-,-,-,-
04/01/2014,14:30,0,-,-,-,-,-,-
04/01/2014,14:40,0,-,-,-,-,-,-
04/01/2014,14:50,0,-,-,-,-,-,-
04/01/2014,15:00,0,28.8,75,155,1009.8,2.4,294
04/01/2014,15:10,0,-,-,-,-,-,-
04/01/2014,15:20,0,-,-,-,-,-,-
04/01/2014,15:30,0,-,-,-,-,-,-
04/01/2014,15:40,0,-,-,-,-,-,-
04/01/2014,15:50,0,-,-,-,-,-,-
04/01/2014,16:00,0,29.1,72,75,1009.6,1.7,249
04/01/2014,16:10,0,-,-,-,-,-,-
04/01/2014,16:20,0,-,-,-,-,-,-
04/01/2014,16:30,0,-,-,-,-,-,-
04/01/2014,16:40,0,-,-,-,-,-,-
04/01/2014,16:50,0,-,-,-,-,-,-
